CLI-022,10450000022,DISEÑO DE ESPACIOS S.A.C.,23781234,Glenn Tipton,Arquitectura y Diseño,2024-04-15 00:00:00,40000.00
CLI-023,20600000023,CADENAS DE RESTAURANTES S.A.,24235678,Kai Hansen,Retail,2023-11-05 00:00:00,550000.00
CLI-024,10450000024,HOTEL BOUTIQUE MIRAFLORES,25679012,Geddy Lee,Hotelería,2024-03-05 00:00:00,65000.00
CLI-025,20600000025,MINERA PODEROSA DEL SUR,26104567,Kerry King,Industrial,2022-04-20 00:00:00,1800000.00
CLI-026,10450000026,ESTUDIO BIM AVANZADO,27548901,Jeff Hanneman,Arquitectura y Diseño,2024-05-10 00:00:00,15000.00
CLI-027,20600000027,MUNICIPALIDAD DE AREQUIPA,28902345,Max Cavalera,Sector Público,2023-05-15 00:00:00,400000.00
CLI-028,10450000028,DATA CENTER PERÚ S.A.,29346789,Tony Iommi,Tecnología,2024-02-01 00:00:00,50000.00
CLI-029,20600000029,FÁBRICA DE CEMENTO ANDINO,30781234,Geezer Butler,Industrial,2023-07-18 00:00:00,750000.00
CLI-030,10450000030,INSTITUTO SUPERIOR TECNOLÓGICO,31235678,Phil Anselmo,Educación Privada,2024-01-20 00:00:00,25000.00
CLI-031,20600000031,CONSULTORA VIAL CAPITAL,32679012,Dimebag Darrell,Infraestructura,2022-09-01 00:00:00,1300000.00
CLI-032,10450000032,ARQUITECTOS ASOCIADOS SAC,33104567,Randy Rhoads,Arquitectura y Diseño,2024-04-20 00:00:00,35000.00
CLI-033,20600000033,CENTRO COMERCIAL JOCKEY PLAZA,34548901,Michael Kiske,Retail,2023-10-10 00:00:00,650000.00
CLI-034,10450000034,RESTAURANTE GOURMET PERÚ,35902345,Axel Rudi Pell,Hotelería,2024-03-15 00:00:00,55000.00
CLI-035,20600000035,MINERA LAS BAMBAS S.A.,36346789,Kai Hansen,Industrial,2022-02-01 00:00:00,2100000.00
CLI-036,10450000036,DISEÑO DE INTERIORES BIZ,37781234,Michael Weikath,Arquitectura y Diseño,2024-05-01 00:00:00,10000.00
CLI-037,20600000037,MUNICIPALIDAD DE TRUJILLO,38235678,Tarja Turunen,Sector Público,2023-08-25 00:00:00,250000.00
CLI-038,10450000038,CABLE ANDINO S.A.,39679012,Floor Jansen,Tecnología,2024-01-10 00:00:00,40000.00
CLI-039,20600000039,EMPRESA DE ELECTRICIDAD DEL NORTE,40104567,Simone Simons,Industrial,2023-09-15 00:00:00,800000.00
CLI-040,10450000040,COLEGIO SAN AGUSTÍN,41548901,Sharon den Adel,Educación Privada,2024-02-05 00:00:00,18000.00
CLI-041,20600000041,CONSORCIO AEROPUERTO DEL SUR,42902345,Cristina Scabbia,Infraestructura,2022-10-15 00:00:00,1400000.00
CLI-042,10450000042,ESTUDIO ARQUITECTÓNICO F&M,43346789,Lzzy Hale,Arquitectura y Diseño,2024-04-25 00:00:00,25000.00
CLI-043,20600000043,TIENDAS RIPLEY PERÚ,44781234,Amy Lee,Retail,2023-12-01 00:00:00,700000.00
CLI-044,10450000044,HOTEL SHERATON LIMA,45235678,Taylor Momsen,Hotelería,2024-02-20 00:00:00,75000.00
CLI-045,20600000045,AZUCARERA CHICLAYO S.A.,46679012,Maria Brink,Industrial,2022-01-05 00:00:00,1600000.00
CLI-046,10450000046,DISEÑO ESPACIAL 3D,47104567,Alissa White-Gluz,Arquitectura y Diseño,2024-05-15 00:00:00,13000.00
CLI-047,20600000047,MUNICIPALIDAD DE PIURA,48548901,Elize Ryd,Sector Público,2023-03-20 00:00:00,350000.00
CLI-048,10450000048,CLOUD SERVICES SAC,49902345,Michael Amott,Tecnología,2024-01-01 00:00:00,60000.00
CLI-049,20600000049,AGUA MINERAL DEL CENTRO,50346789,Chuck Schuldiner,Industrial,2023-06-05 00:00:00,580000.00
CLI-050,10450000050,ESCUELA DE NEGOCIOS PERÚ,51781234,Max Portnoy,Educación Privada,2024-03-05 00:00:00,30000.00
CLI-051,20600000051,GESTIÓN VIAL ANDINA,52235678,Mark Tremonti,Infraestructura,2022-11-20 00:00:00,1250000.00
CLI-052,10450000052,OFICINA DE ARQUITECTURA T&T,53679012,Myles Kennedy,Arquitectura y Diseño,2024-05-05 00:00:00,28000.00
CLI-053,20600000053,CINEPLANET S.A.,54104567,Gus G,Retail,2023-04-10 00:00:00,480000.00
CLI-054,10450000054,COMPLEJO TURÍSTICO RIVIERA,55548901,Jeff Loomis,Hotelería,2024-02-15 00:00:00,80000.00
CLI-055,20600000055,TEXTILES PERUANOS S.A.,56902345,Tobias Sammet,Industrial,2022-08-01 00:00:00,1700000.00
CLI-056,10450000056,PROYECTOS ARQUITECTÓNICOS A-Z,57346789,Jorn Lande,Arquitectura y Diseño,2024-03-25 00:00:00,18000.00
CLI-057,20600000057,MUNICIPALIDAD DE HUANCAYO,58781234,Anette Olzon,Sector Público,2023-09-08 00:00:00,280000.00
CLI-058,10450000058,TELECOMUNICACIONES LIMA,59235678,Till Lindemann,Tecnología,2024-04-05 00:00:00,42000.00
CLI-059,20600000059,FÁBRICA DE PLÁSTICOS DEL PERÚ,60679012,Rammstein M. Schneider,Industrial,2023-11-12 00:00:00,700000.00
CLI-060,10450000060,UNIVERSIDAD NACIONAL DE INGENIERÍA,61104567,Mikael Åkerfeldt,Educación Privada,2024-01-15 00:00:00,40000.00
CLI-061,20600000061,CONSORCIO FERROVIARIO,62548901,Peter Tägtgren,Infraestructura,2022-12-05 00:00:00,1550000.00
CLI-062,10450000062,GRUPO DE ARQUITECTURA URBANA,63902345,Nergal,Arquitectura y Diseño,2024-05-20 00:00:00,22000.00
CLI-063,20600000063,MACRO MERCADOS PERÚ,64346789,King Diamond,Retail,2023-05-03 00:00:00,600000.00
CLI-064,10450000064,RESORT PARACAS BAY,65781234,Dani Filth,Hotelería,2024-01-25 00:00:00,95000.00
CLI-065,20600000065,EXPLORACIONES MINERAS DEL NORTE,66235678,Corpsegrinder,Industrial,2022-06-15 00:00:00,1900000.00
CLI-066,10450000066,DISEÑADORES ASOCIADOS S.A.C.,67679012,Fenriz,Arquitectura y Diseño,2024-04-01 00:00:00,16000.00
CLI-067,20600000067,GOBIERNO REGIONAL DE ICA,68104567,Noel Gallagher,Sector Público,2023-07-01 00:00:00,320000.00
CLI-068,10450000068,SISTEMAS INTELIGENTES PERÚ,69548901,Liam Gallagher,Tecnología,2024-03-18 00:00:00,55000.00
CLI-069,20600000069,PESQUERA DEL SUR S.A.,70902345,Eddie Vedder,Industrial,2023-08-10 00:00:00,510000.00
CLI-070,10450000070,COLEGIO MAYOR PERÚ,71346789,Kurt Cobain,Educación Privada,2024-02-10 00:00:00,22000.00
CLI-071,20600000071,ADMINISTRADORA DE PEAJES,72781234,Layne Staley,Infraestructura,2022-07-25 00:00:00,1150000.00
CLI-072,10450000072,ESTUDIO DE PLANIFICACIÓN URBANA,73235678,Chris Cornell,Arquitectura y Diseño,2024-05-05 00:00:00,33000.00
CLI-073,20600000073,SUPERMERCADOS WONG,74679012,Mike McCready,Retail,2023-10-20 00:00:00,720000.00
CLI-074,10450000074,CONSORCIO HOTELERO L&V,75104567,Jerry Cantrell,Hotelería,2024-04-10 00:00:00,78000.00
CLI-075,20600000075,FÁBRICA DE PRODUCTOS LÁCTEOS,76548901,Scott Weiland,Industrial,2022-04-05 00:00:00,1450000.00
CLI-076,10450000076,ARQUITECTURA BIOCLIMÁTICA,77902345,Trent Reznor,Arquitectura y Diseño,2024-03-05 00:00:00,19000.00
CLI-077,20600000077,MUNICIPALIDAD DE CHICLAYO,78346789,Maynard J. Keenan,Sector Público,2023-06-01 00:00:00,380000.00
CLI-078,10450000078,NETWORK SOLUTIONS SAC,79781234,Serj Tankian,Tecnología,2024-01-20 00:00:00,58000.00
CLI-079,20600000079,PRODUCTOS QUÍMICOS S.A.,80235678,Chino Moreno,Industrial,2023-12-15 00:00:00,650000.00
CLI-080,10450000080,INSTITUTO DE DISEÑO GRÁFICO,81679012,Corey Taylor,Educación Privada,2024-03-20 00:00:00,27000.00
CLI-081,20600000081,CONSTRUCTORA DEL PACÍFICO,82104567,Jonathan Davis,Infraestructura,2022-10-01 00:00:00,1650000.00
CLI-082,10450000082,ESTUDIO DE DISEÑO RURAL,83548901,Ivan Moody,Arquitectura y Diseño,2024-05-10 00:00:00,24000.00
CLI-083,20600000083,MINIMARKET EXPRESS PERÚ,84902345,Jesse Leach,Retail,2023-05-20 00:00:00,420000.00
CLI-084,10450000084,HOTEL COSTA AZUL,85346789,Matt Heafy,Hotelería,2024-02-01 00:00:00,88000.00
CLI-085,20600000085,CEMENTOS DEL CENTRO S.A.,86781234,Alexi Laiho,Industrial,2022-03-25 00:00:00,1750000.00
CLI-086,10450000086,DISEÑADORES URBANOS LIMA,87235678,Tuomas Holopainen,Arquitectura y Diseño,2024-04-05 00:00:00,14000.00
CLI-087,20600000087,MUNICIPALIDAD DE HUÁNUCO,88679012,Jukka Nevalainen,Sector Público,2023-07-15 00:00:00,290000.00
CLI-088,10450000088,SOLUCIONES EN LA NUBE S.A.C.,89104567,Emppu Vuorinen,Tecnología,2024-03-10 00:00:00,48000.00
CLI-089,20600000089,FÁBRICA DE CERVECERÍA LIMA,90548901,Marco Hietala,Industrial,2023-08-01 00:00:00,680000.00
CLI-090,10450000090,UNIVERSIDAD DE CIENCIAS APLICADAS,91902345,Jeff Scott Soto,Educación Privada,2024-01-08 00:00:00,35000.00
CLI-091,20600000091,GESTIÓN VIAL DEL SUR,92346789,Yngwie Malmsteen,Infraestructura,2022-11-10 00:00:00,1350000.00
CLI-092,10450000092,OFICINA DE ARQUITECTURA VERTICAL,93781234,Joe Satriani,Arquitectura y Diseño,2024-04-01 00:00:00,29000.00
CLI-093,20600000093,MEGA PLAZA S.A.,94235678,Steve Vai,Retail,2023-04-01 00:00:00,580000.00
CLI-094,10450000094,HOSPEDAJE RÚSTICO ICA,95679012,Jason Becker,Hotelería,2024-02-25 00:00:00,70000.00
CLI-095,20600000095,MINERA SHAHIN S.A.,96104567,Marty Friedman,Industrial,2022-05-01 00:00:00,2000000.00
CLI-096,10450000096,PROYECTOS ARQUITECTÓNICOS GLOBALES,97548901,Richie Faulkner,Arquitectura y Diseño,2024-05-25 00:00:00,17000.00
CLI-097,20600000097,MUNICIPALIDAD DE CHIMBOTE,98902345,Glenn Hughes,Sector Público,2023-06-10 00:00:00,310000.00
CLI-098,10450000098,SECURITY SYSTEMS PERÚ,99346789,Don Airey,Tecnología,2024-03-25 00:00:00,52000.00
CLI-099,20600000099,AGROINDUSTRIA LA CAÑA,10781234,Steve Harris,Industrial,2023-10-05 00:00:00,560000.00
CLI-100,10450000100,COLEGIO PARTICULAR MODERNO,11235678,Nicko McBrain,Educación Privada,2024-01-30 00:00:00,28000.00
